Precinct,KEITH JUDD                            ,MICHAEL STEINBERG                     ,BERNIE SANDERS                        ,WILLIE WILSON                         ,ROQUE DE LA FUENTE                    ,HILLARY CLINTON                       ,HENRY HEWES                           ,WRITE-IN                              ,OVER VOTES                            ,UNDER VOTES                           ,TOTALS
11267,0,0,23,1,0,40,0,0,0,0,64
11397,0,0,0,0,0,3,0,0,0,1,4
11648,0,0,0,0,0,0,0,0,0,0,0
11974,0,1,50,0,0,49,0,1,0,1,102
12669,0,0,37,0,0,92,1,1,0,1,132
12681,0,1,76,1,0,106,0,0,1,1,186
12702,0,1,84,0,0,69,0,0,0,1,155
12747,1,1,83,0,0,77,0,1,0,1,164
12786,0,0,114,0,0,82,0,0,0,0,196
12852,0,1,85,0,0,152,0,2,0,3,243
12943,0,0,0,0,0,0,0,0,0,0,0
12988,0,1,32,0,0,36,0,0,0,5,74
13032,0,0,65,0,1,41,0,0,0,1,108
13239,0,0,0,0,0,0,0,0,0,0,0
13328,1,0,50,0,0,37,1,2,0,3,94
13424,0,2,56,0,1,32,0,2,0,0,93
13551,0,0,49,0,0,36,0,0,0,1,86
13635,0,0,52,1,0,49,0,0,0,0,102
13658,0,0,42,1,0,37,0,2,0,2,84
13706,1,0,40,0,0,22,0,0,0,1,64
13993,0,0,25,0,0,18,0,0,0,1,44
14314,0,0,90,0,0,99,0,1,0,2,192
14502,0,1,33,0,0,59,0,0,0,0,93
14564,0,1,48,0,0,54,0,0,0,0,103
14693,0,0,88,1,0,91,1,2,0,0,183
14783,0,0,16,0,0,29,0,0,0,5,50
14820,0,0,83,0,0,74,0,0,0,0,157
14971,0,0,96,0,0,71,0,1,0,1,169
15018,0,1,94,1,0,102,0,1,0,1,200
15102,0,0,126,0,0,158,0,4,0,2,290
15287,1,0,107,0,0,113,0,1,0,1,223
15321,0,1,92,0,0,112,0,0,0,2,207
15530,0,0,45,0,0,35,0,0,0,0,80
15749,0,0,95,0,0,86,2,0,1,1,185
15941,0,0,0,0,0,0,0,0,0,0,0
16002,0,1,85,0,1,99,0,2,0,2,190
16107,0,0,77,0,0,79,1,1,1,2,161
16318,0,1,43,1,1,28,0,0,0,2,76
16463,0,0,71,0,1,74,0,0,0,2,148
16573,0,1,65,0,0,72,0,1,0,0,139
16801,1,0,50,0,1,93,0,1,0,3,149
16836,1,0,54,0,1,87,1,3,0,3,150
16869,0,0,35,0,0,54,0,1,2,0,92
16944,0,0,48,0,0,62,0,3,0,4,117
17428,0,0,80,0,0,109,0,0,0,1,190
17512,0,0,64,0,0,45,0,0,0,0,109
17630,0,2,121,0,0,86,0,0,0,1,210
18012,0,0,75,0,0,45,0,0,0,0,120
18119,0,1,115,0,1,86,0,2,0,2,207
18143,1,1,115,0,0,102,0,1,0,1,221
18213,0,0,114,2,0,116,0,2,0,2,236
18220,0,1,124,0,1,126,1,1,0,3,257
18385,0,0,103,0,0,85,0,1,0,2,191
18501,0,0,71,0,0,59,0,2,0,1,133
18562,1,0,54,0,0,69,0,1,0,2,127
18588,0,0,106,0,0,128,0,5,0,3,242
18791,0,2,69,0,0,52,0,1,0,1,125
18840,0,1,95,0,0,141,0,0,0,8,245
19081,2,0,33,0,1,34,0,0,1,1,72
19319,0,0,64,0,1,73,1,0,0,4,143
19325,0,1,84,0,0,88,1,2,0,1,177
19427,0,0,44,0,0,39,0,1,0,1,85
19455,0,1,93,0,0,66,0,1,1,0,162
19532,0,0,72,0,0,50,0,1,2,3,128
19646,1,1,102,0,0,97,0,1,0,1,203
19685,0,0,24,0,0,13,0,0,0,2,39
19800,0,2,63,0,1,67,0,4,0,1,138
19913,0,0,11,0,0,8,0,0,0,0,19
19948,0,0,60,0,0,27,1,0,0,1,89
21009,0,1,52,0,0,48,0,1,0,1,103
21013,0,0,73,1,0,62,0,0,0,3,139
21065,0,1,75,1,0,50,0,2,0,0,129
21134,0,1,75,1,0,47,0,2,0,2,128
21159,0,0,70,0,1,70,0,0,0,2,143
21231,2,0,43,0,0,69,1,1,0,2,118
21362,1,1,67,0,0,62,0,1,0,4,136
21489,0,1,57,0,0,57,1,0,0,0,116
21615,1,0,59,0,0,59,0,0,0,1,120
21621,0,1,55,0,0,57,0,2,0,0,115
21688,0,0,29,0,1,37,0,0,0,1,68
21712,0,0,5,0,1,7,0,0,0,0,13
21725,0,0,4,0,0,19,0,0,0,1,24
21783,0,0,13,0,0,25,0,0,0,0,38
21800,0,1,27,0,0,25,0,2,0,2,57
21846,0,0,46,0,1,61,0,2,0,2,112
21895,0,0,80,0,0,63,1,2,0,1,147
21904,0,1,67,0,0,68,0,0,0,3,139
21961,0,0,59,0,0,35,0,2,0,0,96
22003,0,1,81,1,0,55,0,3,1,1,143
22045,0,1,75,0,0,63,0,2,0,3,144
22061,0,0,62,2,0,62,0,2,0,2,130
22139,0,0,38,0,0,51,0,2,0,0,91
22143,1,1,63,0,0,76,0,0,0,2,143
22325,0,0,33,0,0,38,0,0,0,5,76
22427,0,0,51,0,0,42,1,3,0,1,98
22453,0,0,94,0,0,63,0,1,0,4,162
22464,0,0,69,1,0,61,1,1,0,3,136
22566,0,0,76,0,0,44,0,2,0,0,122
22685,0,0,13,0,0,9,0,0,0,0,22
22694,0,0,25,0,0,16,0,0,0,1,42
22709,0,0,40,0,1,53,0,1,0,2,97
22730,0,0,53,0,0,57,1,1,0,1,113
22824,2,0,45,1,0,36,1,1,0,0,86
22847,1,0,53,0,0,50,0,0,0,2,106
22873,1,0,71,0,0,65,0,1,0,0,138
22898,0,0,3,0,0,5,0,0,0,0,8
22926,0,0,34,0,0,21,0,1,0,1,57
22997,0,0,9,0,0,8,0,0,0,1,18
23002,1,0,43,0,0,32,0,1,0,1,78
23077,0,2,62,2,0,38,1,0,0,2,107
23172,0,0,73,0,0,43,1,2,0,0,119
23221,0,0,17,0,0,12,0,0,0,1,30
23240,0,0,61,0,0,32,1,0,0,1,95
23313,0,2,75,0,0,45,0,1,0,6,129
23423,0,0,66,0,0,48,0,0,0,1,115
23519,1,0,66,0,0,43,0,2,0,0,112
23542,0,0,46,1,1,65,0,0,0,5,118
23637,1,0,68,0,0,64,1,2,0,0,136
23680,0,1,83,0,0,61,0,1,0,1,147
23733,0,0,67,1,0,56,1,2,0,0,127
23769,1,0,78,0,0,46,0,1,0,0,126
23879,0,0,68,0,0,52,0,1,0,2,123
23905,0,1,43,0,0,25,2,0,0,0,71
23970,0,2,43,1,0,26,0,0,0,0,72
24005,0,0,0,0,0,0,0,0,0,0,0
24041,0,0,0,0,0,0,0,0,0,0,0
24067,0,0,0,0,0,0,0,0,0,0,0
24148,0,0,62,0,1,39,1,0,0,0,103
24182,0,0,55,1,0,26,0,1,0,0,83
24263,0,0,0,0,0,0,0,0,0,0,0
24352,0,0,53,0,0,50,0,2,0,0,105
24360,0,0,8,0,0,5,0,0,0,0,13
24385,0,1,30,0,0,37,0,0,0,2,70
24438,0,0,0,0,0,0,0,0,0,0,0
24500,0,0,51,0,0,43,0,0,0,0,94
24557,1,1,69,0,0,55,0,1,0,1,128
24651,2,0,58,1,0,40,0,1,0,2,104
24669,0,0,60,0,1,57,0,1,0,0,119
24684,0,0,65,0,0,40,0,1,1,0,107
24739,0,1,78,0,0,67,1,1,0,3,151
24801,3,0,108,0,1,54,0,1,0,1,168
24874,2,0,83,0,0,55,0,1,0,2,143
24908,0,0,92,1,0,76,1,2,0,2,174
24927,1,0,41,0,1,55,0,0,0,2,100
25011,0,0,46,0,0,17,0,1,0,0,64
25076,0,0,47,0,0,37,0,1,0,1,86
25108,0,0,17,0,0,24,0,0,0,0,41
25155,0,1,66,0,0,33,1,3,0,1,105
25234,0,0,72,0,0,30,0,2,0,2,106
25404,0,1,7,0,1,7,0,0,0,0,16
25432,0,0,93,0,0,53,0,1,0,4,151
25501,0,0,51,0,0,58,0,0,0,0,109
25536,1,1,53,0,1,37,0,0,0,2,95
25588,0,0,64,0,0,84,0,0,0,3,151
25696,1,0,57,0,0,64,1,0,0,1,124
25703,0,0,26,0,0,40,0,0,0,2,68
25741,0,0,54,0,0,43,1,1,0,0,99
25812,0,0,62,0,0,50,1,0,0,3,116
25845,0,2,65,0,0,43,1,0,0,0,111
25919,0,2,69,0,0,45,0,0,0,0,116
25935,0,0,109,1,0,71,0,0,0,2,183
25990,1,0,56,0,0,45,0,0,0,1,103
26086,0,1,31,0,0,37,1,2,0,1,73
26171,0,1,62,0,0,31,0,0,0,0,94
26413,0,1,71,0,0,64,1,1,0,1,139
26442,0,0,38,0,0,41,1,0,0,1,81
26538,0,0,48,0,0,27,0,0,0,1,76
26597,0,1,61,0,0,56,0,1,0,1,120
26625,0,2,85,2,2,63,1,2,0,3,160
26715,0,0,50,0,0,58,0,2,1,3,114
26747,0,3,61,0,0,53,0,0,0,4,121
26808,1,0,55,0,0,67,0,0,0,1,124
26830,0,1,52,0,0,35,0,0,0,2,90
26916,0,0,78,1,0,51,0,0,0,2,132
26978,1,1,56,1,0,53,1,1,0,1,115
27031,0,0,0,0,0,0,0,0,0,0,0
27046,0,0,55,0,1,37,0,2,1,1,97
27098,0,0,57,0,0,29,0,0,0,0,86
27100,1,0,72,0,0,48,0,1,0,0,122
27212,0,0,59,0,0,58,1,1,0,0,119
27223,0,0,58,0,0,47,0,0,0,2,107
27305,0,1,96,0,0,83,0,2,0,0,182
27320,0,0,92,0,0,39,0,1,0,1,133
27506,0,0,99,0,0,56,0,0,0,0,155
27627,0,0,55,0,0,55,0,0,0,1,111
27648,0,1,132,0,0,75,0,1,0,1,210
27719,0,0,107,0,0,84,0,0,0,1,192
27721,0,0,76,0,0,53,0,1,0,0,130
27971,0,0,49,0,0,73,0,0,0,1,123
28014,0,0,102,0,0,56,0,0,0,3,161
28200,0,0,101,0,0,80,0,1,0,1,183
28299,0,0,25,0,0,39,0,3,0,2,69
28368,0,0,63,0,0,65,0,0,0,1,129
28392,0,0,70,0,0,65,0,1,0,0,136
28417,0,0,49,0,0,44,0,0,0,0,93
28530,1,0,71,1,0,102,0,2,0,2,179
28656,0,0,84,1,0,145,1,0,0,1,232
28773,0,0,51,0,0,78,0,0,0,3,132
28809,0,0,38,0,0,48,0,2,0,0,88
28939,0,0,35,0,0,70,0,0,0,2,107
29043,0,1,80,0,0,52,0,0,0,3,136
29128,0,0,68,0,0,48,0,2,0,0,118
29298,0,0,77,0,0,100,0,0,0,1,178
29434,0,0,110,0,0,87,0,0,0,2,199
29462,0,1,53,0,0,65,0,1,1,0,121
29661,0,0,48,0,0,95,0,0,0,0,143
29825,0,0,31,0,0,53,0,0,0,0,84
29848,1,2,49,0,0,87,0,0,0,1,140
31066,1,0,89,0,0,44,0,1,0,1,136
31082,0,1,46,0,0,23,0,1,0,1,72
31193,1,1,66,0,0,61,0,3,0,1,133
31271,0,1,63,0,0,72,1,5,0,3,145
31348,2,1,84,0,0,41,0,2,0,1,131
31432,0,0,37,0,1,34,0,3,0,0,75
31461,0,0,59,0,0,48,0,0,0,1,108
31538,0,0,41,0,0,41,2,2,0,3,89
31574,1,0,89,0,0,43,0,0,0,4,137
31631,0,1,61,0,0,40,0,2,0,2,106
31662,0,1,48,0,0,51,0,2,0,3,105
31765,0,0,40,0,0,29,0,0,0,0,69
31839,0,1,65,0,0,34,0,1,0,4,105
31900,1,1,51,0,0,50,0,1,0,0,104
31994,0,0,48,1,0,27,0,1,0,2,79
32101,0,0,42,2,0,36,0,1,0,0,81
32206,0,0,53,0,1,39,0,1,0,1,95
32435,0,1,37,2,0,54,0,2,0,3,99
32554,0,1,50,0,1,33,0,3,0,2,90
32773,0,0,53,0,0,49,0,2,0,2,106
32872,1,0,93,1,1,53,1,4,0,2,156
33017,0,0,0,0,0,0,0,0,0,0,0
33108,0,0,34,0,0,35,0,1,0,0,70
33126,0,0,55,0,0,35,0,0,0,0,90
33227,0,1,40,0,0,63,0,1,0,2,107
33480,0,1,28,0,0,29,0,0,0,1,59
33529,0,0,45,0,0,48,0,0,1,0,94
33713,0,1,53,2,0,30,0,1,0,2,89
33774,0,0,42,1,0,51,0,2,0,0,96
33818,0,0,78,0,1,53,0,1,0,2,135
33997,0,0,45,0,0,77,0,3,0,5,130
34064,0,0,58,0,0,39,0,0,0,2,99
34180,0,0,121,0,0,70,0,3,0,0,194
34322,0,0,52,0,0,51,0,0,0,1,104
34410,0,0,61,1,0,45,0,1,0,1,109
34452,1,0,53,0,0,24,0,1,0,2,81
34600,0,1,80,0,0,66,0,1,0,4,152
34824,0,0,74,0,0,69,0,1,0,2,146
35127,1,0,52,1,0,35,0,0,0,4,93
35215,0,0,76,0,0,58,0,0,0,0,134
35260,0,0,65,0,0,29,0,3,0,0,97
35345,0,0,0,0,0,0,0,0,0,0,0
35402,0,0,69,0,0,45,0,0,0,5,119
35500,0,0,72,4,1,64,0,0,0,2,143
35636,0,0,77,0,0,74,0,0,0,1,152
35797,0,0,59,0,0,42,0,2,0,1,104
35852,0,1,31,0,0,27,0,2,0,0,61
35886,0,0,46,0,1,69,0,1,0,0,117
36005,0,0,75,0,0,43,0,1,0,3,122
36104,0,0,72,0,0,59,0,3,0,0,134
36274,1,1,52,0,0,34,0,2,0,2,92
36389,0,1,68,0,0,54,0,5,0,4,132
36407,0,0,95,0,0,51,0,1,0,2,149
36433,0,0,61,1,0,50,0,1,0,1,114
36556,0,0,43,0,0,63,0,0,0,1,107
36602,0,1,58,1,0,66,0,0,0,1,127
36645,0,0,77,0,0,77,0,0,0,0,154
36781,0,0,27,0,0,37,1,0,0,1,66
36844,0,1,25,0,0,27,1,0,0,0,54
36973,0,0,36,0,0,44,0,0,0,0,80
37109,0,0,88,1,0,57,1,0,0,0,147
37138,0,0,100,1,0,85,0,3,0,0,189
37258,0,0,89,0,0,48,0,2,0,2,141
37296,0,0,56,1,0,86,0,0,0,2,145
38113,0,0,55,0,0,55,0,3,0,1,114
38570,1,0,62,1,0,53,0,1,0,1,119
39027,1,0,40,0,0,39,0,0,0,1,81
39226,0,0,69,0,0,70,0,0,1,2,142
39423,0,1,55,0,0,41,0,1,0,0,98
39471,0,0,55,0,0,45,0,0,0,6,106
39508,0,0,44,0,0,53,0,0,0,0,97
39704,0,0,64,0,0,47,0,2,0,0,113
41017,0,1,69,0,0,61,0,0,0,1,132
41028,0,0,33,0,0,7,0,0,0,1,41
41216,0,0,179,1,0,89,0,0,0,0,269
41262,0,0,156,0,0,100,0,0,0,2,258
41321,0,1,74,0,1,73,0,2,0,2,153
41378,0,0,117,1,1,118,0,2,1,0,240
41519,0,0,220,0,0,138,0,1,0,0,359
41560,0,2,219,0,0,79,0,1,0,0,301
41661,0,0,242,1,0,153,1,3,1,4,405
41686,0,0,197,0,0,96,0,2,0,2,297
41722,0,0,99,0,0,63,0,0,0,0,162
41769,1,0,171,0,0,100,0,2,0,1,275
41818,0,1,147,0,0,65,0,4,0,1,218
41899,0,0,141,0,0,79,0,2,0,0,222
41976,0,0,193,0,0,146,0,2,0,2,343
42016,0,0,135,0,1,181,0,1,0,2,320
42155,0,0,163,0,0,154,0,3,0,3,323
42258,0,1,108,0,0,140,0,2,0,6,257
42297,0,0,133,0,0,152,1,1,0,2,289
42324,0,1,116,0,0,162,1,1,0,5,286
42351,0,0,110,0,0,151,0,2,0,0,263
42509,0,0,109,0,0,223,1,1,0,3,337
42605,0,0,124,1,0,143,0,4,0,3,275
42735,0,0,77,0,0,63,0,1,0,2,143
42821,0,0,167,1,0,151,0,0,1,0,320
42854,0,0,125,0,0,83,0,5,0,2,215
42960,0,0,110,0,0,101,0,0,2,5,218
42979,0,0,181,1,0,138,0,1,1,1,323
42984,0,0,131,0,0,102,1,1,0,2,237
43033,0,0,0,0,0,0,0,0,0,0,0
43148,0,0,124,2,2,167,0,0,0,4,299
43242,0,0,125,0,0,155,1,2,0,1,284
43329,0,0,22,0,0,6,0,0,0,0,28
43400,0,1,85,0,0,87,0,1,0,1,175
43439,0,1,86,0,0,147,0,3,0,2,239
43614,0,1,144,0,0,60,0,1,0,1,207
43738,0,0,101,1,0,65,0,1,0,1,169
43845,0,1,48,1,0,38,0,1,0,2,91
43915,0,0,1,0,0,1,0,0,0,0,2
44013,0,0,82,0,0,93,0,1,0,0,176
44059,0,0,67,0,0,56,0,0,0,0,123
44158,0,0,126,0,0,176,0,0,0,2,304
44191,0,0,76,1,0,60,0,1,0,1,139
44209,0,0,138,0,0,95,0,1,0,1,235
44274,0,1,182,0,0,229,0,2,0,1,415
44310,0,0,141,0,0,181,0,2,0,4,328
44507,1,1,87,1,0,115,0,0,0,2,207
44520,0,0,86,0,0,120,0,0,0,1,207
44549,0,0,97,2,0,229,0,0,0,3,331
44601,0,1,98,0,0,91,1,2,0,0,193
44625,1,2,94,2,0,122,0,0,0,2,223
44663,0,0,75,0,0,143,0,0,2,1,221
44706,1,1,143,1,0,188,0,2,0,0,336
44757,0,1,47,0,0,59,0,0,0,1,108
44804,0,0,145,0,0,120,0,2,0,1,268
44886,0,0,0,0,0,3,0,0,0,0,3
44903,0,1,131,0,1,117,0,2,1,3,256
44970,0,2,90,2,1,71,0,0,0,2,168
45015,0,0,129,1,0,70,0,3,0,0,203
45058,0,0,165,0,0,86,0,1,0,1,253
45107,0,0,99,0,0,89,0,1,0,0,189
45164,0,0,74,0,0,48,0,1,0,2,125
45241,1,0,103,0,0,66,0,2,0,0,172
45314,0,0,82,1,1,61,0,0,0,0,145
45418,0,1,63,0,0,64,0,0,1,0,129
45453,0,0,41,0,0,32,0,1,0,1,75
45482,0,0,35,0,0,41,0,0,0,1,77
45511,0,0,34,0,0,45,1,2,0,2,84
45548,0,1,52,1,1,62,0,2,1,1,121
45624,0,0,56,0,1,58,0,0,0,2,117
45670,0,1,70,0,0,70,0,1,0,1,143
45701,0,0,2,0,0,1,0,0,0,0,3
45736,0,0,12,0,0,24,0,0,0,0,36
45774,0,0,0,0,0,0,0,0,0,0,0
45783,0,0,1,0,0,4,0,0,0,0,5
45847,0,0,49,0,1,52,0,0,0,0,102
45908,0,0,39,0,0,30,0,2,0,0,71
45956,0,2,71,0,1,69,1,0,0,3,147
45997,0,1,45,0,0,58,0,0,0,0,104
46185,0,1,106,0,0,89,1,0,1,2,200
46220,0,0,114,1,0,93,1,1,0,2,212
46307,1,2,134,1,1,112,0,1,0,6,258
46344,0,1,95,0,0,81,0,2,1,0,180
46477,1,1,120,0,0,95,0,2,0,2,221
46508,0,2,82,0,0,66,0,1,0,0,151
46554,0,0,19,0,0,16,0,0,0,0,35
46618,0,0,62,0,0,67,0,0,1,0,130
46690,0,1,77,0,0,67,0,2,0,1,148
46739,0,0,43,0,0,68,0,0,1,1,113
46828,0,0,58,0,1,62,0,0,0,1,122
47018,0,1,41,0,0,60,0,0,0,1,103
47051,0,3,100,0,0,147,0,2,0,1,253
47116,0,2,115,0,0,106,0,6,0,8,237
47154,0,2,83,0,0,112,1,0,0,3,201
47199,0,3,82,0,0,79,0,0,0,1,165
47226,1,1,86,0,0,125,0,0,0,1,214
47249,0,0,83,1,0,116,0,1,1,2,204
47302,0,4,109,0,0,148,0,1,1,3,266
47348,0,1,86,0,0,108,0,2,0,2,199
47436,0,0,138,2,0,144,0,3,0,6,293
47530,0,1,82,0,0,86,0,1,0,1,171
47541,0,3,106,0,0,107,0,2,1,4,223
47563,0,0,113,1,0,142,0,1,0,0,257
47619,0,2,96,0,1,135,0,0,0,2,236
47712,0,1,73,0,0,106,0,2,0,2,184
47724,0,1,33,0,0,72,0,0,0,2,108
47814,0,0,82,0,1,90,0,1,0,3,177
47833,0,0,88,0,0,102,0,1,0,1,192
47879,0,2,101,2,0,136,0,0,1,0,242
47943,0,0,47,1,0,53,0,0,0,1,102
48122,0,2,81,0,0,133,0,3,0,3,222
48150,0,0,50,0,1,99,0,0,0,1,151
48252,0,1,39,0,0,63,0,0,0,2,105
48305,0,1,107,0,0,122,0,1,1,0,232
48320,0,1,46,0,0,58,0,0,0,3,108
48396,0,0,70,0,0,83,0,1,0,4,158
48447,0,0,75,0,1,104,0,0,0,1,181
48475,0,0,71,0,0,62,0,0,1,3,137
48524,0,1,36,0,0,40,0,1,0,2,80
48579,0,1,51,0,0,55,0,1,0,0,108
48602,0,0,0,0,0,0,0,0,0,0,0
48613,0,0,59,0,1,83,0,1,1,0,145
48637,0,1,51,1,1,72,0,0,0,0,126
48703,0,0,40,1,0,47,0,1,2,1,92
48728,0,0,48,0,0,64,0,0,3,2,117
48767,0,0,14,0,0,15,0,0,0,1,30
48906,0,0,1,0,0,5,0,0,0,0,6
48917,0,1,72,0,0,94,0,0,0,2,169
48949,0,1,36,1,1,80,0,0,0,1,120
48995,0,1,58,0,1,83,1,0,0,2,146
49006,2,1,90,1,0,140,0,2,0,5,241
49085,0,0,24,0,0,28,0,0,0,0,52
49162,0,0,65,0,0,64,0,1,0,4,134
49208,0,1,86,0,0,90,0,0,0,2,179
49263,1,0,82,1,0,115,0,1,0,1,201
49316,0,0,19,0,0,20,0,0,0,0,39
49327,0,0,34,0,0,83,0,0,2,1,120
49373,0,1,26,0,0,47,0,1,0,1,76
49401,0,0,58,0,0,103,1,0,0,1,163
49457,0,0,39,0,0,64,0,1,1,1,106
49472,1,1,43,0,1,84,0,0,0,0,130
49542,0,0,44,0,0,64,0,0,0,1,109
49596,0,0,34,0,0,27,0,0,0,1,62
49629,0,3,53,0,0,63,0,0,0,3,122
49705,0,0,16,0,0,31,0,0,0,0,47
49732,0,2,83,1,0,75,0,0,1,1,163
49766,0,1,62,0,0,102,0,1,0,4,170
49791,0,0,23,0,0,51,0,0,0,2,76
49802,0,0,51,0,0,41,0,1,0,2,95
49923,0,0,52,0,0,50,1,1,1,0,105
49981,0,0,0,0,0,0,0,0,0,0,0
51026,0,0,68,0,0,45,0,1,0,0,114
51127,0,0,74,0,0,53,0,0,0,0,127
51180,0,2,104,0,0,57,0,0,0,1,164
51317,1,1,87,0,0,69,1,2,0,0,161
51415,1,2,137,2,0,108,0,1,0,0,251
51565,0,0,116,0,0,71,0,0,0,2,189
51646,0,0,0,0,0,0,0,0,0,0,0
51729,0,0,109,1,0,96,0,1,0,2,209
51753,0,0,44,0,0,51,0,0,0,1,96
51844,0,1,73,1,0,61,0,0,0,0,136
51922,0,2,70,1,1,67,1,3,0,1,146
52129,1,1,81,0,0,67,0,1,0,0,151
52218,0,0,70,0,0,31,0,0,0,0,101
52260,0,0,67,1,0,42,0,3,0,2,115
52405,1,0,88,2,0,73,0,0,0,1,165
52516,0,2,60,0,0,58,0,1,1,1,123
52627,0,0,71,0,0,63,0,1,0,1,136
52723,0,0,46,0,0,41,0,3,0,2,92
52750,0,0,85,0,0,91,0,0,0,2,178
52868,0,0,62,0,0,50,0,0,0,3,115
52957,0,0,23,0,0,17,0,0,0,0,40
53014,0,1,56,1,0,43,0,0,0,1,102
53067,2,1,82,0,0,47,0,8,0,4,144
53137,0,1,93,0,0,88,0,1,0,1,184
53261,1,0,88,0,1,41,0,1,0,3,135
53318,0,0,38,0,0,34,0,1,0,1,74
53363,0,0,59,0,1,39,1,0,0,4,104
53435,0,0,52,0,1,52,0,3,0,3,111
53526,0,0,76,0,0,46,0,0,0,3,125
53594,1,0,34,0,0,32,0,1,0,0,68
53610,0,0,29,1,0,31,0,0,1,1,63
53657,0,0,78,0,0,47,0,0,0,2,127
53773,0,0,0,0,0,0,0,0,0,0,0
53903,0,0,45,0,0,66,0,0,0,1,112
54416,0,0,1,0,0,2,0,0,0,2,5
54713,0,0,6,0,0,5,0,0,0,0,11
54899,0,1,28,2,0,42,0,0,1,5,79
55016,0,0,0,0,0,0,0,0,0,0,0
55160,0,2,90,0,0,65,0,7,0,1,165
55203,0,1,70,1,0,45,1,2,1,1,122
55281,0,0,86,0,1,64,0,3,0,2,156
55410,0,0,24,0,0,13,0,0,0,2,39
55936,0,0,39,0,0,48,0,0,0,1,88
56165,0,0,53,1,0,49,0,3,0,1,107
56250,0,0,36,1,0,37,0,0,0,0,74
56399,0,1,4,0,0,4,0,0,0,0,9
56798,0,1,20,0,0,16,0,0,0,0,37
57019,0,0,73,0,1,70,0,1,0,2,147
57101,0,1,46,0,0,59,0,1,0,0,107
57157,0,1,25,0,0,21,0,1,0,0,48
57315,0,0,22,0,0,35,0,0,0,0,57
57430,0,1,71,0,0,71,0,1,0,2,146
57509,0,0,44,1,0,39,1,0,0,0,85
57566,0,0,40,1,0,34,0,0,0,1,76
57639,0,0,74,0,0,78,0,1,0,1,154
57688,0,0,63,0,0,76,0,2,0,2,143
57703,0,2,57,1,0,68,0,1,0,1,130
57735,0,0,55,0,0,72,0,0,0,0,127
57862,0,0,54,0,0,73,0,0,0,1,128
58346,0,0,57,0,0,54,0,0,0,2,113
58437,1,0,74,0,0,54,0,2,0,2,133
58460,0,0,58,0,0,50,0,0,0,0,108
58782,0,0,59,0,0,62,0,1,0,2,124
58828,0,1,72,0,1,69,0,0,1,2,146
59352,0,1,57,0,0,61,1,0,0,0,120
59406,0,1,63,0,0,73,0,1,1,1,140
59562,0,0,29,0,0,62,0,3,0,1,95
61020,0,0,4,0,0,23,0,0,0,1,28
